game_id,game_name,view_count
459262,Call of Cthulhu - The Video Game,4052
492925,Shadowverse,3973
494553,Crash Bandicoot: N. Sane Trilogy,3954
497434,Total War: Warhammer II,3888
493526,Runner3,3877
313558,Diablo III: Reaper of Souls,3867
6369,God of War,3843
496881,Darksiders III,3835
32742,Kerbal Space Program,3816
11989,StarCraft,3812
24193,Left 4 Dead 2,3806
493048,Fate/Grand Order,3790
503116,Beat Saber,3759
510104,Ride 3,3717
492763,Rising Storm 2: Vietnam,3700
2083,RuneScape,3689
19554,iRacing.com,3673
500188,Hunt: Showdown,3597
24664,Heroes of Newerth,3567
496738,War of Rights,3558
495811,SCUM,3523
490349,The Elder Scrolls: Legends,3514
27103,Sid Meier's Civilization V,3507
370539,Puyo Puyo Tetris,3504
31336,Metin 2,3466
490713,Undertale,3438
30028,The Elder Scrolls V: Skyrim,3402
31284,Sonic Generations,3391
9287,Pok̩mon Ruby/Sapphire,3378
509673,Makers & Crafting,3316
505380,Spyro Reignited Trilogy,3314
489767,XCOM 2,3309
8170,Madness,3299
505371,Marvel's Spider-Man,3291
20596,Dofus,3144
19023,Final Fantasy IV,3097
3682,Guitar Hero III: Legends of Rock,3069
4235,Microsoft Flight Simulator X,3066
33882,FTL: Faster Than Light,3037
369579,Tom Clancy's The Division,3026
510564,Treasure Hunter Simulator,2988
31376,Terraria,2977
497304,Russian Fishing 4,2970
4815,Mega Man,2949
80607,Elite: Dangerous,2930
2755,Half-Life,2925
493054,NHL 17,2920
492805,Final Fantasy: Brave Exvius,2916
498744,SCP: Secret Laboratory,2915
493997,Super Mario Odyssey,2902
497248,Yu-Gi-Oh! TRADING CARD GAME,2887
459064,Cuphead,2826
11988,Final Fantasy VII,2823
510438,Fear the Night,2741
490382,For Honor,2706
458443,Alien: Isolation,2667
495082,One Hour One Life,2649
489170,Dark Souls II: Scholar of the First Sin,2588
1758,Shin Megami Tensei: Digital Devil Saga 2,2580
506316,NHL 19,2560
14805,Metal Gear Solid,2547
495973,Semblance,2539
11544,Grand Chase,2525
492546,Star Wars Battlefront II,2500
20423,Blade and Soul,2444
458224,SOMA,2380
75467,Euro Truck Simulator 2,2369
459341,The Legend of Heroes: Trails of Cold Steel II,2333
497243,Legends of Aria,2316
460090,Subnautica,2312
490147,Hollow Knight,2308
313553,XCOM: Enemy Within,2297
11530,Steam,2293
493244,Deceit,2250
458650,Gran Turismo Sport,2246
460160,Zero: Nuregarasu no Miko,2233
11996,Fire Emblem: Thracia 776,2215
8676,Mega Man X,2193
113749,Prime World,2174
498668,Warhammer: Vermintide 2,2169
491171,Virtual Reality,2163
539,Harry Potter and the Philosopher's Stone,2143
510204,Thief Simulator,2142
4926,F̼tbol,2126
492535,Celeste,2125
207,Yu-Gi-Oh! Forbidden Memories,2111
32345,Borderlands 2,2107
26175,PlanetSide 2,2087
497852,Business Tour,2086
67763,Don't Starve,2082
461529,VA-11 HALL-A,2049
506274,Assassin's Creed Odyssey,2038
509887,Evasion,2037
499132,They Are Billions,2037
67490,CLOP,2027
499463,Getting Over It,2026
497334,Pok̩mon Ultra Sun/Ultra Moon,2021
22619,Spelunky,1982
13332,Pok̩mon FireRed/LeafGreen,1937
491180,Twitch Plays,1936
30627,Final Fantasy IV: The Complete Collection,1911
488837,Worlds Adrift,1900
493174,The Jackbox Party Pack 3,1882
461449,Cities: Skylines,1843
458353,Darkest Dungeon,1791
19745,Pok̩mon Platinum,1774
509016,Beholder 2,1762
14198,Metroid Prime,1713
22720,Super Meat Boy,1710
503988,Princess Connect! Re: Dive,1689
19549,Final Fantasy III,1665
9683,SpongeBob SquarePants: Battle for Bikini Bottom,1655
15910,Bomberman 64,1654
12482,The Legend of Zelda: Majora's Mask,1651
91423,Dark Souls II,1612
504503,Rage in Peace,1596
1468,Resident Evil 4,1590
16676,Team Fortress 2,1586
500402,Wo Yao Da,1559
24239,Super Mario Galaxy 2,1547
370345,SpeedRunners,1539
65627,I Wanna Be The Boshy,1521
497078,Far Cry 5,1491
493091,FIFA 17,1487
493125,My Summer Car,1479
