game_name,total view_count
Life Is Strange 2,84
Unreal Engine,84
Drone Racing League Simulator,83
Home Sweet Home,83
Sega Rally 2,83
Wolfenstein II: The New Colossus,83
Mobile Legends: Bang bang,82
Kingdom Hearts HD 1.5 + 2.5 Remix,82
Robot Alchemic Drive,81
Kamen Rider,81
A Christmas Carol,81
Shadow of the Colossus,81
Marvel vs. Capcom Infinite,80
Animal Crossing: City Folk,80
Light Bearers,80
Tomb Raider: The Last Revelation,80
Chrono Trigger,80
Drawful 2,80
Quake Live,79
Wolfenstein: The New Order,79
HQ Trivia,79
Witch It,78
Tom Clancy's Rainbow 6: Patriots,77
SpyParty,77
Wario Land 4,76
Devil May Cry HD Collection,76
Reign Of Kings,76
The King of Fighters XIII,75
Silkroad Online,75
Silent Descent,75
Sonic Adventure 2,75
Welcome to the Game,75
FIFA Mobile,74
Donkey Kong Country 3: Dixie Kong's Double Trouble!,74
Fallout 2,73
Cube Escape: Paradox,73
Monopoly Plus,72
F1 2017,72
Yoku's Island Express,72
Hello Neighbor,72
Breath of Fire,71
Five Nights at Freddy's,71
Stonehearth,71
Tomb Raider III: Adventures of Lara Croft,70
Super Paper Mario,70
Injustice 2,69
Zula,69
Mass Effect: Andromeda,69
Heretic,69
Zettai Zetsumei Toshi 4 Plus: Summer Memories,68
Portal,68
Gnomes Garden 2,68
AO Tennis,68
Legaia 2: Duel Saga,68
Minesweeper,68
Total War: Shogun 2,68
Golf It!,67
Pro Pilkki 2,67
Chicken,66
Mortal Kombat Mythologies: Sub-Zero,66
Edna & Harvey: The Breakout,66
Danganronpa Another Episode: Ultra Despair Girls,66
Capcom vs. SNK 2: Mark of the Millennium,65
Nekopara Vol.1,65
Super Animal Royale,65
Star Trek Online,63
Donut County,63
Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,62
BlazBlue Continuum Shift Extend,62
Lara Croft and the Temple of Osiris,62
Final Fantasy XII,61
Story of the Survivor,60
The Goonies II,60
Quiplash,60
Diablo,60
Kingdom Hearts HD II.8: Final Chapter Prologue,60
Zero-4 Champ,60
Food ,60
SD Gundam Capsule Fighter Online,60
FAR: Lone Sails,59
The Sims 2,58
P.A.S.,58
Worms Armageddon,58
Phantasmal,58
Half-Life 2: Episode One,58
Simmiland,58
Soul Worker,58
Command & Conquer: Yuri's Revenge,58
Unravel,57
The Settlers: History Collection,57
Dragon Quest IV: Chapters of the Chosen,57
Sinner: Sacrifice for Redemption,57
Sylvio,56
Sleeping Dogs,56
Half-Life: Counter-Strike,55
Hellgate: London,55
Project Warlock,55
TerraTech,55
Metal Gear,54
Dead Rising 2,54
Elsword,53
Bloodstained: Curse of the Moon,53
Battletoads,52
Let It Die,52
Vampire: The Masquerade - Bloodlines,52
Call of Duty: World at War,52
The Legend of Zelda: Spirit Tracks,52
Halo: Combat Evolved,52
Wonder Boy: The Dragon's Trap,52
Bully: Scholarship Edition,52
Command & Conquer: Red Alert 3,51
NBA G League,51
Kingdom Hearts: Chain of Memories,51
Metro 2033,51
Wizard of Legend,50
Cool Boarders 2,50
DiRT 3,50
Ib,50
Ancestors Legacy,50
Ratchet & Clank,50
Do Not Feed the Monkeys,49
Dungeon Defenders II,49
Black Desert Mobile,48
Mike Tyson's Punch-Out!!,48
Tree of Savior,48
ArmA II: Operation Arrowhead,48
Demon's Crest,48
Dragon Quest Builders,47
Far Cry 2,47
Paper Mario,47
Pathfinder,46
Zero Time Dilemma,46
Nightmares from the Deep 3: Davy Jones,45
Secret Hitler,45
Stationeers,45
Shroud of the Avatar: Forsaken Virtues,45
Assetto Corsa,45
Bubsy in: Claws Encounters of the Furred Kind,44
APB Reloaded,44
Treasure Adventure World,44
Atelier Rorona: Alchemist of Arland,44
Ludum Dare,43
Rad Rodgers,43
DreadOut,43
Crash Bandicoot 2: Cortex Strikes Back,43
The Isle,42
The Legend of Zelda: Four Swords Adventures,42
Spellbreak,42
TrackManiaÁE² Stadium,41
Trauma Center: New Blood,41
The Technician,41
LEGO Harry Potter: Years 1-4,41
ICEY,41
The Shapeshifting Detective,40
Final Fantasy IV: The After Years,40
The Binding of Isaac: Rebirth,39
System Shock 2,39
Uncharted: The Nathan Drake Collection,38
Capcom Beat 'Em Up Bundle,37
